X,Y
0.19,0.188859
0.191,0.189841
0.192,0.190823
0.193,0.191804
0.194,0.192785
0.195,0.193767
0.196,0.194747
0.197,0.195728
0.198,0.196709
0.199,0.197689
0.2,0.198669
0.201,0.199649
0.202,0.200629
0.203,0.201609
0.204,0.202588
0.205,0.203567
0.206,0.204546
0.207,0.205525
0.208,0.206503
0.209,0.207482
0.21,0.20846
0.211,0.209438
0.212,0.210416
0.213,0.211393
0.214,0.21237
0.215,0.213347
0.216,0.214324
0.217,0.215301
0.218,0.216277
0.219,0.217254
0.22,0.21823
0.221,0.219205
0.222,0.220181
0.223,0.221156
0.224,0.222131
0.225,0.223106
0.226,0.224081
0.227,0.225056
0.228,0.22603
0.229,0.227004
0.23,0.227978
0.231,0.228951
0.232,0.229924
0.233,0.230897
0.234,0.23187
0.235,0.232843
0.236,0.233815
0.237,0.234788
0.238,0.235759
0.239,0.236731
0.24,0.237703
0.241,0.238674
0.242,0.239645
0.243,0.240616
0.244,0.241586
0.245,0.242556
0.246,0.243526
0.247,0.244496
0.248,0.245466
0.249,0.246435
0.25,0.247404
0.251,0.248373
0.252,0.249341
0.253,0.25031
0.254,0.251278
0.255,0.252245
0.256,0.253213
0.257,0.25418
0.258,0.255147
0.259,0.256114
0.26,0.257081
0.261,0.258047
0.262,0.259013
0.263,0.259979
0.264,0.260944
0.265,0.261909
0.266,0.262874
0.267,0.263839
0.268,0.264803
0.269,0.265768
0.27,0.266731
0.271,0.267695
0.272,0.268658
0.273,0.269622
0.274,0.270584
0.275,0.271547
0.276,0.272509
0.277,0.273471
0.278,0.274433
0.279,0.275394
0.28,0.276356
0.281,0.277317
0.282,0.278277
0.283,0.279238
0.284,0.280198
0.285,0.281157
0.286,0.282117
0.287,0.283076
0.288,0.284035
0.289,0.284994
0.29,0.285952
0.291,0.28691
0.292,0.287868
0.293,0.288826
0.294,0.289783
0.295,0.29074
0.296,0.291697
0.297,0.292653
0.298,0.293609
0.299,0.294565
0.3,0.29552
0.301,0.296475
0.302,0.29743
0.303,0.298385
0.304,0.299339
0.305,0.300293
0.306,0.301247
0.307,0.3022
0.308,0.303153
0.309,0.304106
0.31,0.305059
0.311,0.306011
0.312,0.306963
0.313,0.307914
0.314,0.308866
0.315,0.309816
0.316,0.310767
0.317,0.311717
0.318,0.312667
0.319,0.313617
0.32,0.314567
0.321,0.315516
0.322,0.316464
0.323,0.317413
0.324,0.318361
0.325,0.319309
0.326,0.320256
0.327,0.321203
0.328,0.32215
0.329,0.323097
0.33,0.324043
0.331,0.324989
0.332,0.325934
0.333,0.32688
0.334,0.327825
0.335,0.328769
0.336,0.329713
0.337,0.330657
0.338,0.331601
0.339,0.332544
0.34,0.333487
0.341,0.33443
0.342,0.335372
0.343,0.336314
0.344,0.337255
0.345,0.338197
0.346,0.339138
0.347,0.340078
0.348,0.341018
0.349,0.341958
0.35,0.342898
0.351,0.343837
0.352,0.344776
0.353,0.345714
0.354,0.346653
0.355,0.34759
0.356,0.348528
0.357,0.349465
0.358,0.350402
0.359,0.351338
0.36,0.352274
0.361,0.35321
0.362,0.354145
0.363,0.35508
0.364,0.356015
0.365,0.356949
0.366,0.357883
0.367,0.358817
0.368,0.35975
0.369,0.360683
0.37,0.361615
0.371,0.362548
0.372,0.363479
0.373,0.364411
0.374,0.365342
0.375,0.366273
0.376,0.367203
0.377,0.368133
0.378,0.369062
0.379,0.369992
0.38,0.37092
0.381,0.371849
0.382,0.372777
0.383,0.373705
0.384,0.374632
0.385,0.375559
0.386,0.376486
0.387,0.377412
0.388,0.378338
0.389,0.379263
0.39,0.380188
0.391,0.381113
0.392,0.382037
0.393,0.382961
0.394,0.383885
0.395,0.384808
0.396,0.385731
0.397,0.386653
0.398,0.387575
0.399,0.388497
0.4,0.389418
0.401,0.390339
0.402,0.39126
0.403,0.39218
0.404,0.393099
0.405,0.394019
0.406,0.394938
0.407,0.395856
0.408,0.396774
0.409,0.397692
0.41,0.398609
0.411,0.399526
0.412,0.400443
0.413,0.401359
0.414,0.402275
0.415,0.40319
0.416,0.404105
0.417,0.405019
0.418,0.405933
0.419,0.406847
0.42,0.40776
0.421,0.408673
0.422,0.409586
0.423,0.410498
0.424,0.41141
0.425,0.412321
0.426,0.413232
0.427,0.414142
0.428,0.415052
0.429,0.415962
0.43,0.416871
0.431,0.41778
0.432,0.418688
0.433,0.419596
0.434,0.420503
0.435,0.42141
0.436,0.422317
0.437,0.423223
0.438,0.424129
0.439,0.425035
0.44,0.425939
0.441,0.426844
0.442,0.427748
0.443,0.428652
0.444,0.429555
0.445,0.430458
0.446,0.43136
0.447,0.432262
0.448,0.433164
0.449,0.434065
0.45,0.434966
0.451,0.435866
0.452,0.436766
0.453,0.437665
0.454,0.438564
0.455,0.439462
0.456,0.44036
0.457,0.441258
0.458,0.442155
0.459,0.443052
0.46,0.443948
0.461,0.444844
0.462,0.445739
0.463,0.446634
0.464,0.447529
0.465,0.448423
0.466,0.449316
0.467,0.45021
0.468,0.451102
0.469,0.451994
0.47,0.452886
0.471,0.453778
0.472,0.454669
0.473,0.455559
0.474,0.456449
0.475,0.457338
0.476,0.458228
0.477,0.459116
0.478,0.460004
0.479,0.460892
0.48,0.461779
0.481,0.462666
0.482,0.463552
0.483,0.464438
0.484,0.465323
0.485,0.466208
0.486,0.467093
0.487,0.467977
0.488,0.46886
0.489,0.469743
0.49,0.470626
0.491,0.471508
0.492,0.47239
0.493,0.473271
0.494,0.474151
0.495,0.475032
0.496,0.475911
0.497,0.476791
0.498,0.477669
0.499,0.478548
0.5,0.479426
0.501,0.480303
0.502,0.48118
0.503,0.482056
0.504,0.482932
0.505,0.483807
0.506,0.484682
0.507,0.485557
0.508,0.486431
0.509,0.487304
0.51,0.488177
0.511,0.48905
0.512,0.489922
0.513,0.490793
0.514,0.491664
0.515,0.492535
0.516,0.493405
0.517,0.494274
0.518,0.495144
0.519,0.496012
0.52,0.49688
0.521,0.497748
0.522,0.498615
0.523,0.499481
0.524,0.500347
0.525,0.501213
0.526,0.502078
0.527,0.502943
0.528,0.503807
0.529,0.50467
0.53,0.505533
0.531,0.506396
0.532,0.507258
0.533,0.508119
0.534,0.508981
0.535,0.509841
0.536,0.510701
0.537,0.511561
0.538,0.51242
0.539,0.513278
0.54,0.514136
0.541,0.514993
0.542,0.51585
0.543,0.516707
0.544,0.517563
0.545,0.518418
0.546,0.519273
0.547,0.520127
0.548,0.520981
0.549,0.521834
0.55,0.522687
0.551,0.523539
0.552,0.524391
0.553,0.525242
0.554,0.526093
0.555,0.526943
0.556,0.527793
0.557,0.528642
0.558,0.529491
0.559,0.530339
0.56,0.531186
0.561,0.532033
0.562,0.53288
0.563,0.533726
0.564,0.534571
0.565,0.535416
0.566,0.53626
0.567,0.537104
0.568,0.537947
0.569,0.53879
0.57,0.539632
0.571,0.540474
0.572,0.541315
0.573,0.542155
0.574,0.542995
0.575,0.543835
0.576,0.544674
0.577,0.545512
0.578,0.54635
0.579,0.547187
0.58,0.548024
0.581,0.54886
0.582,0.549696
0.583,0.550531
0.584,0.551365
0.585,0.552199
0.586,0.553033
0.587,0.553866
0.588,0.554698
0.589,0.55553
0.59,0.556361
0.591,0.557192
0.592,0.558022
0.593,0.558851
0.594,0.55968
0.595,0.560509
0.596,0.561337
0.597,0.562164
0.598,0.562991
0.599,0.563817
0.6,0.564642
0.601,0.565468
0.602,0.566292
0.603,0.567116
0.604,0.567939
0.605,0.568762
0.606,0.569584
0.607,0.570406
0.608,0.571227
0.609,0.572048
0.61,0.572867
0.611,0.573687
0.612,0.574506
0.613,0.575324
0.614,0.576141
0.615,0.576959
0.616,0.577775
0.617,0.578591
0.618,0.579406
0.619,0.580221
0.62,0.581035
0.621,0.581849
0.622,0.582662
0.623,0.583474
0.624,0.584286
0.625,0.585097
0.626,0.585908
0.627,0.586718
0.628,0.587528
0.629,0.588336
0.63,0.589145
0.631,0.589952
0.632,0.59076
0.633,0.591566
0.634,0.592372
0.635,0.593178
0.636,0.593982
0.637,0.594786
0.638,0.59559
0.639,0.596393
0.64,0.597195
0.641,0.597997
0.642,0.598798
0.643,0.599599
0.644,0.600399
0.645,0.601198
0.646,0.601997
0.647,0.602795
0.648,0.603593
0.649,0.60439
0.65,0.605186
0.651,0.605982
0.652,0.606777
0.653,0.607572
0.654,0.608366
0.655,0.609159
0.656,0.609952
0.657,0.610744
0.658,0.611536
0.659,0.612327
0.66,0.613117
0.661,0.613907
0.662,0.614696
0.663,0.615484
0.664,0.616272
0.665,0.617059
0.666,0.617846
0.667,0.618632
0.668,0.619417
0.669,0.620202
0.67,0.620986
0.671,0.621769
0.672,0.622552
0.673,0.623335
0.674,0.624116
0.675,0.624897
0.676,0.625678
0.677,0.626457
0.678,0.627237
0.679,0.628015
0.68,0.628793
0.681,0.62957
0.682,0.630347
0.683,0.631123
0.684,0.631898
0.685,0.632673
0.686,0.633447
0.687,0.634221
0.688,0.634993
0.689,0.635766
0.69,0.636537
0.691,0.637308
0.692,0.638078
0.693,0.638848
0.694,0.639617
0.695,0.640385
0.696,0.641153
0.697,0.64192
0.698,0.642687
0.699,0.643453
0.7,0.644218
0.701,0.644982
0.702,0.645746
0.703,0.646509
0.704,0.647272
0.705,0.648034
0.706,0.648795
0.707,0.649556
0.708,0.650316
0.709,0.651075
0.71,0.651834
0.711,0.652592
0.712,0.653349
0.713,0.654106
0.714,0.654862
0.715,0.655617
0.716,0.656372
0.717,0.657126
0.718,0.65788
0.719,0.658633
0.72,0.659385
0.721,0.660136
0.722,0.660887
0.723,0.661637
0.724,0.662387
0.725,0.663135
0.726,0.663884
0.727,0.664631
0.728,0.665378
0.729,0.666124
0.73,0.66687
0.731,0.667614
0.732,0.668359
0.733,0.669102
0.734,0.669845
0.735,0.670587
0.736,0.671329
0.737,0.672069
0.738,0.67281
0.739,0.673549
0.74,0.674288
0.741,0.675026
0.742,0.675763
0.743,0.6765
0.744,0.677236
0.745,0.677972
0.746,0.678707
0.747,0.679441
0.748,0.680174
0.749,0.680907
0.75,0.681639
0.751,0.68237
0.752,0.683101
0.753,0.683831
0.754,0.68456
0.755,0.685289
0.756,0.686017
0.757,0.686744
0.758,0.68747
0.759,0.688196
0.76,0.688921
0.761,0.689646
0.762,0.69037
0.763,0.691093
0.764,0.691815
0.765,0.692537
0.766,0.693258
0.767,0.693978
0.768,0.694698
0.769,0.695417
0.77,0.696135
0.771,0.696853
0.772,0.69757
0.773,0.698286
0.774,0.699001
0.775,0.699716
0.776,0.70043
0.777,0.701144
0.778,0.701856
0.779,0.702568
0.78,0.703279
0.781,0.70399
0.782,0.7047
0.783,0.705409
0.784,0.706117
0.785,0.706825
0.786,0.707532
0.787,0.708239
0.788,0.708944
0.789,0.709649
0.79,0.710353
0.791,0.711057
0.792,0.71176
0.793,0.712462
0.794,0.713163
0.795,0.713864
0.796,0.714564
0.797,0.715263
0.798,0.715961
0.799,0.716659
0.8,0.717356
0.801,0.718052
0.802,0.718748
0.803,0.719443
0.804,0.720137
0.805,0.720831
0.806,0.721523
0.807,0.722215
0.808,0.722907
0.809,0.723597
0.81,0.724287
0.811,0.724976
0.812,0.725665
0.813,0.726352
0.814,0.727039
0.815,0.727726
0.816,0.728411
0.817,0.729096
0.818,0.72978
0.819,0.730463
0.82,0.731146
0.821,0.731828
0.822,0.732509
0.823,0.733189
0.824,0.733869
0.825,0.734548
0.826,0.735226
0.827,0.735903
0.828,0.73658
0.829,0.737256
0.83,0.737931
0.831,0.738606
0.832,0.73928
0.833,0.739953
0.834,0.740625
0.835,0.741297
0.836,0.741967
0.837,0.742637
0.838,0.743307
0.839,0.743975
0.84,0.744643
0.841,0.74531
0.842,0.745977
0.843,0.746642
0.844,0.747307
0.845,0.747971
0.846,0.748634
0.847,0.749297
0.848,0.749959
0.849,0.75062
0.85,0.75128
0.851,0.75194
0.852,0.752599
0.853,0.753257
0.854,0.753914
0.855,0.754571
0.856,0.755227
0.857,0.755882
0.858,0.756536
0.859,0.75719
0.86,0.757843
0.861,0.758495
0.862,0.759146
0.863,0.759796
0.864,0.760446
0.865,0.761095
0.866,0.761744
0.867,0.762391
0.868,0.763038
0.869,0.763684
0.87,0.764329
0.871,0.764973
0.872,0.765617
0.873,0.76626
0.874,0.766902
0.875,0.767544
0.876,0.768184
0.877,0.768824
0.878,0.769463
0.879,0.770101
0.88,0.770739
0.881,0.771376
0.882,0.772012
0.883,0.772647
0.884,0.773281
0.885,0.773915
0.886,0.774548
0.887,0.77518
0.888,0.775811
0.889,0.776442
0.89,0.777072
0.891,0.777701
0.892,0.778329
0.893,0.778956
0.894,0.779583
0.895,0.780209
0.896,0.780834
0.897,0.781459
0.898,0.782082
0.899,0.782705
0.9,0.783327
0.901,0.783948
0.902,0.784569
0.903,0.785188
0.904,0.785807
0.905,0.786425
0.906,0.787042
0.907,0.787659
0.908,0.788275
0.909,0.78889
0.91,0.789504
0.911,0.790117
0.912,0.79073
0.913,0.791341
0.914,0.791952
0.915,0.792563
0.916,0.793172
0.917,0.793781
0.918,0.794388
0.919,0.794995
0.92,0.795602
0.921,0.796207
0.922,0.796812
0.923,0.797415
0.924,0.798019
0.925,0.798621
0.926,0.799222
0.927,0.799823
0.928,0.800423
0.929,0.801022
0.93,0.80162
0.931,0.802217
0.932,0.802814
0.933,0.80341
0.934,0.804005
0.935,0.804599
0.936,0.805192
0.937,0.805785
0.938,0.806377
0.939,0.806968
0.94,0.807558
0.941,0.808147
0.942,0.808736
0.943,0.809324
0.944,0.809911
0.945,0.810497
0.946,0.811082
0.947,0.811667
0.948,0.812251
0.949,0.812833
0.95,0.813416
0.951,0.813997
0.952,0.814577
0.953,0.815157
0.954,0.815736
0.955,0.816314
0.956,0.816891
0.957,0.817467
0.958,0.818043
0.959,0.818618
0.96,0.819192
0.961,0.819765
0.962,0.820337
0.963,0.820908
0.964,0.821479
0.965,0.822049
0.966,0.822618
0.967,0.823186
0.968,0.823753
0.969,0.82432
0.97,0.824886
0.971,0.825451
0.972,0.826015
0.973,0.826578
0.974,0.82714
0.975,0.827702
0.976,0.828263
0.977,0.828823
0.978,0.829382
0.979,0.82994
0.98,0.830497
0.981,0.831054
0.982,0.83161
0.983,0.832165
0.984,0.832719
0.985,0.833272
0.986,0.833825
0.987,0.834376
0.988,0.834927
0.989,0.835477
0.99,0.836026
0.991,0.836574
0.992,0.837122
0.993,0.837668
0.994,0.838214
0.995,0.838759
0.996,0.839303
0.997,0.839846
0.998,0.840389
0.999,0.84093
1,0.841471
1.001,0.842011
1.002,0.84255
1.003,0.843088
1.004,0.843625
1.005,0.844162
1.006,0.844698
1.007,0.845232
1.008,0.845766
1.009,0.8463
1.01,0.846832
1.011,0.847363
1.012,0.847894
1.013,0.848424
1.014,0.848953
1.015,0.849481
1.016,0.850008
1.017,0.850534
1.018,0.85106
1.019,0.851584
1.02,0.852108
1.021,0.852631
1.022,0.853153
1.023,0.853674
1.024,0.854195
1.025,0.854714
1.026,0.855233
1.027,0.855751
1.028,0.856268
1.029,0.856784
1.03,0.857299
1.031,0.857813
1.032,0.858327
1.033,0.85884
1.034,0.859351
1.035,0.859862
1.036,0.860372
1.037,0.860882
1.038,0.86139
1.039,0.861898
1.04,0.862404
1.041,0.86291
1.042,0.863415
1.043,0.863919
1.044,0.864422
1.045,0.864925
1.046,0.865426
1.047,0.865927
1.048,0.866426
1.049,0.866925
1.05,0.867423
1.051,0.86792
1.052,0.868417
1.053,0.868912
1.054,0.869407
1.055,0.8699
1.056,0.870393
1.057,0.870885
1.058,0.871376
1.059,0.871866
1.06,0.872355
1.061,0.872844
1.062,0.873331
1.063,0.873818
1.064,0.874304
1.065,0.874789
1.066,0.875273
1.067,0.875756
1.068,0.876239
1.069,0.87672
1.07,0.877201
1.071,0.87768
1.072,0.878159
1.073,0.878637
1.074,0.879114
1.075,0.87959
1.076,0.880065
1.077,0.88054
1.078,0.881013
1.079,0.881486
1.08,0.881958
1.081,0.882429
1.082,0.882899
1.083,0.883368
1.084,0.883836
1.085,0.884303
1.086,0.88477
1.087,0.885235
1.088,0.8857
1.089,0.886164
1.09,0.886627
1.091,0.887089
1.092,0.88755
1.093,0.88801
1.094,0.88847
1.095,0.888928
1.096,0.889386
1.097,0.889843
1.098,0.890298
1.099,0.890753
1.1,0.891207
1.101,0.891661
1.102,0.892113
1.103,0.892564
1.104,0.893015
1.105,0.893464
1.106,0.893913
1.107,0.894361
1.108,0.894808
1.109,0.895254
1.11,0.895699
1.111,0.896143
1.112,0.896586
1.113,0.897029
1.114,0.89747
1.115,0.897911
1.116,0.898351
1.117,0.898789
1.118,0.899227
1.119,0.899664
1.12,0.9001
1.121,0.900536
1.122,0.90097
1.123,0.901403
1.124,0.901836
1.125,0.902268
1.126,0.902698
1.127,0.903128
1.128,0.903557
1.129,0.903985
1.13,0.904412
1.131,0.904838
1.132,0.905264
1.133,0.905688
1.134,0.906112
1.135,0.906534
1.136,0.906956
1.137,0.907377
1.138,0.907796
1.139,0.908215
1.14,0.908633
1.141,0.909051
1.142,0.909467
1.143,0.909882
1.144,0.910297
1.145,0.91071
1.146,0.911123
1.147,0.911534
1.148,0.911945
1.149,0.912355
1.15,0.912764
1.151,0.913172
1.152,0.913579
1.153,0.913985
1.154,0.914391
1.155,0.914795
1.156,0.915198
1.157,0.915601
1.158,0.916003
1.159,0.916403
1.16,0.916803
1.161,0.917202
1.162,0.9176
1.163,0.917997
1.164,0.918393
1.165,0.918788
1.166,0.919183
1.167,0.919576
1.168,0.919968
1.169,0.92036
1.17,0.920751
1.171,0.92114
1.172,0.921529
1.173,0.921917
1.174,0.922304
1.175,0.92269
1.176,0.923075
1.177,0.923459
1.178,0.923842
1.179,0.924225
1.18,0.924606
1.181,0.924986
1.182,0.925366
1.183,0.925745
1.184,0.926122
1.185,0.926499
1.186,0.926875
1.187,0.92725
1.188,0.927624
1.189,0.927997
1.19,0.928369
1.191,0.92874
1.192,0.92911
1.193,0.92948
1.194,0.929848
1.195,0.930216
1.196,0.930582
1.197,0.930948
1.198,0.931313
1.199,0.931676
1.2,0.932039
1.201,0.932401
1.202,0.932762
1.203,0.933122
1.204,0.933481
1.205,0.933839
1.206,0.934196
1.207,0.934553
1.208,0.934908
1.209,0.935263
1.21,0.935616
1.211,0.935969
1.212,0.93632
1.213,0.936671
1.214,0.937021
1.215,0.937369
1.216,0.937717
1.217,0.938064
1.218,0.93841
1.219,0.938755
1.22,0.939099
1.221,0.939443
1.222,0.939785
1.223,0.940126
1.224,0.940466
1.225,0.940806
1.226,0.941144
1.227,0.941482
1.228,0.941818
1.229,0.942154
1.23,0.942489
1.231,0.942823
1.232,0.943155
1.233,0.943487
1.234,0.943818
1.235,0.944148
1.236,0.944477
1.237,0.944805
1.238,0.945133
1.239,0.945459
1.24,0.945784
1.241,0.946108
1.242,0.946432
1.243,0.946754
1.244,0.947076
1.245,0.947396
1.246,0.947716
1.247,0.948034
1.248,0.948352
1.249,0.948669
1.25,0.948985
1.251,0.949299
1.252,0.949613
1.253,0.949926
1.254,0.950238
1.255,0.950549
1.256,0.950859
1.257,0.951169
1.258,0.951477
1.259,0.951784
1.26,0.95209
1.261,0.952396
1.262,0.9527
1.263,0.953004
1.264,0.953306
1.265,0.953608
1.266,0.953908
1.267,0.954208
1.268,0.954506
1.269,0.954804
1.27,0.955101
1.271,0.955397
1.272,0.955692
1.273,0.955985
1.274,0.956278
1.275,0.95657
1.276,0.956861
1.277,0.957151
1.278,0.957441
1.279,0.957729
1.28,0.958016
1.281,0.958302
1.282,0.958587
1.283,0.958872
1.284,0.959155
1.285,0.959437
1.286,0.959719
1.287,0.959999
1.288,0.960279
1.289,0.960557
1.29,0.960835
1.291,0.961112
1.292,0.961387
1.293,0.961662
1.294,0.961936
1.295,0.962209
1.296,0.96248
1.297,0.962751
1.298,0.963021
1.299,0.96329
1.3,0.963558
1.301,0.963825
1.302,0.964091
1.303,0.964356
1.304,0.96462
1.305,0.964884
1.306,0.965146
1.307,0.965407
1.308,0.965667
1.309,0.965927
1.31,0.966185
1.311,0.966442
1.312,0.966699
1.313,0.966954
1.314,0.967209
1.315,0.967462
1.316,0.967715
1.317,0.967966
1.318,0.968217
1.319,0.968466
1.32,0.968715
1.321,0.968963
1.322,0.96921
1.323,0.969455
1.324,0.9697
1.325,0.969944
1.326,0.970187
1.327,0.970429
1.328,0.970669
1.329,0.970909
1.33,0.971148
1.331,0.971386
1.332,0.971623
1.333,0.971859
1.334,0.972095
1.335,0.972329
1.336,0.972562
1.337,0.972794
1.338,0.973025
1.339,0.973255
1.34,0.973485
1.341,0.973713
1.342,0.97394
1.343,0.974166
1.344,0.974392
1.345,0.974616
1.346,0.97484
1.347,0.975062
1.348,0.975283
1.349,0.975504
1.35,0.975723
1.351,0.975942
1.352,0.976159
1.353,0.976376
1.354,0.976592
1.355,0.976806
1.356,0.97702
1.357,0.977232
1.358,0.977444
1.359,0.977655
1.36,0.977865
1.361,0.978073
1.362,0.978281
1.363,0.978488
1.364,0.978694
1.365,0.978899
1.366,0.979102
1.367,0.979305
1.368,0.979507
1.369,0.979708
1.37,0.979908
1.371,0.980107
1.372,0.980305
1.373,0.980502
1.374,0.980698
1.375,0.980893
1.376,0.981087
1.377,0.98128
1.378,0.981472
1.379,0.981663
1.38,0.981854
1.381,0.982043
1.382,0.982231
1.383,0.982418
1.384,0.982604
1.385,0.982789
1.386,0.982974
1.387,0.983157
1.388,0.983339
1.389,0.983521
1.39,0.983701
1.391,0.98388
1.392,0.984058
1.393,0.984236
1.394,0.984412
1.395,0.984588
1.396,0.984762
1.397,0.984935
1.398,0.985108
1.399,0.985279
1.4,0.98545
1.401,0.985619
1.402,0.985788
1.403,0.985955
1.404,0.986122
1.405,0.986287
1.406,0.986452
1.407,0.986615
1.408,0.986778
1.409,0.98694
1.41,0.9871
1.411,0.98726
1.412,0.987418
1.413,0.987576
1.414,0.987733
1.415,0.987888
1.416,0.988043
1.417,0.988197
1.418,0.988349
1.419,0.988501
1.42,0.988652
1.421,0.988801
1.422,0.98895
1.423,0.989098
1.424,0.989245
1.425,0.989391
1.426,0.989535
1.427,0.989679
1.428,0.989822
1.429,0.989964
1.43,0.990105
1.431,0.990244
1.432,0.990383
1.433,0.990521
1.434,0.990658
1.435,0.990794
1.436,0.990929
1.437,0.991063
1.438,0.991196
1.439,0.991327
1.44,0.991458
1.441,0.991588
1.442,0.991717
1.443,0.991845
1.444,0.991972
1.445,0.992098
1.446,0.992223
1.447,0.992347
1.448,0.99247
1.449,0.992592
1.45,0.992713
1.451,0.992833
1.452,0.992952
1.453,0.99307
1.454,0.993187
1.455,0.993303
1.456,0.993418
1.457,0.993532
1.458,0.993645
1.459,0.993757
1.46,0.993868
1.461,0.993978
1.462,0.994088
1.463,0.994196
1.464,0.994303
1.465,0.994409
1.466,0.994514
1.467,0.994618
1.468,0.994721
1.469,0.994823
1.47,0.994924
1.471,0.995024
1.472,0.995124
1.473,0.995222
1.474,0.995319
1.475,0.995415
1.476,0.99551
1.477,0.995604
1.478,0.995698
1.479,0.99579
1.48,0.995881
1.481,0.995971
1.482,0.99606
1.483,0.996148
1.484,0.996236
1.485,0.996322
1.486,0.996407
1.487,0.996491
1.488,0.996574
1.489,0.996657
1.49,0.996738
1.491,0.996818
1.492,0.996897
1.493,0.996975
1.494,0.997053
1.495,0.997129
1.496,0.997204
1.497,0.997278
1.498,0.997352
1.499,0.997424
1.5,0.997495
1.501,0.997565
1.502,0.997634
1.503,0.997703
1.504,0.99777
1.505,0.997836
1.506,0.997901
1.507,0.997966
1.508,0.998029
1.509,0.998091
1.51,0.998152
1.511,0.998213
1.512,0.998272
1.513,0.99833
1.514,0.998388
1.515,0.998444
1.516,0.998499
1.517,0.998553
1.518,0.998607
1.519,0.998659
1.52,0.99871
1.521,0.99876
1.522,0.99881
1.523,0.998858
1.524,0.998905
1.525,0.998952
1.526,0.998997
1.527,0.999041
1.528,0.999084
1.529,0.999127
1.53,0.999168
1.531,0.999208
1.532,0.999248
1.533,0.999286
1.534,0.999323
1.535,0.999359
1.536,0.999395
1.537,0.999429
1.538,0.999462
1.539,0.999495
1.54,0.999526
1.541,0.999556
1.542,0.999585
1.543,0.999614
1.544,0.999641
